file_path,complexity,cognitive_complexity,bugs,code_smells,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
hibernate-core/src/main/java/org/hibernate/engine/spi/AbstractDelegatingSessionBuilderImplementor.java,2.0,0.0,0.0,1.0,2.0,1.0,0.0,25.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingSessionFactoryBuilder.java,62.0,0.0,0.0,1.0,2.0,1.0,0.0,417.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingSessionFactoryBuilderImplementor.java,4.0,0.0,0.0,1.0,2.0,1.0,0.0,39.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingSessionFactoryOptions.java,88.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/spi/AbstractDelegatingSharedSessionBuilder.java,25.0,0.0,0.0,3.0,17.0,3.0,0.0,174.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/spi/AbstractDelegatingWrapperOptions.java,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,A,A
hibernate-core/src/main/java/org/hibernate/persister/entity/mutation/AbstractDeleteCoordinator.java,46.0,44.0,0.0,5.0,20.0,5.0,0.0,327.0,A,A
hibernate-core/src/main/java/org/hibernate/query/sqm/mutation/internal/temptable/AbstractDeleteExecutionDelegate.java,9.0,0.0,0.0,1.0,2.0,1.0,0.0,99.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/AbstractDiscriminatorMapping.java,20.0,0.0,0.0,1.0,2.0,1.0,0.0,254.0,A,A
hibernate-core/src/main/java/org/hibernate/cache/cfg/internal/AbstractDomainDataCachingConfig.java,2.0,0.0,0.0,1.0,2.0,1.0,0.0,27.0,A,A
hibernate-core/src/main/java/org/hibernate/cache/spi/support/AbstractDomainDataRegion.java,35.0,20.0,0.0,2.0,7.0,2.0,0.0,239.0,A,A
hibernate-testing/src/main/java/org/hibernate/testing/orm/domain/AbstractDomainModelDescriptor.java,4.0,1.0,0.0,1.0,5.0,1.0,0.0,35.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/AbstractDomainPath.java,30.0,35.0,0.0,2.0,25.0,2.0,0.0,295.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/model/domain/AbstractDomainType.java,4.0,0.0,0.0,1.0,2.0,1.0,0.0,36.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AbstractDynamicMapInstantiator.java,8.0,2.0,0.0,2.0,2.0,2.0,0.0,65.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/embeddable/AbstractEmbeddableInitializer.java,86.0,71.0,0.0,14.0,56.0,14.0,0.0,483.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/AbstractEmbeddableMapping.java,93.0,97.0,0.0,4.0,32.0,4.0,0.0,750.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AbstractEmbeddableRepresentationStrategy.java,9.0,3.0,0.0,1.0,2.0,1.0,0.0,85.0,A,A
hibernate-core/src/main/java/org/hibernate/tuple/entity/AbstractEntityBasedAttribute.java,2.0,0.0,0.0,1.0,10.0,1.0,0.0,35.0,A,A
hibernate-core/src/main/java/org/hibernate/loader/ast/internal/AbstractEntityBatchLoader.java,10.0,7.0,0.0,1.0,2.0,1.0,0.0,104.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/AbstractEntityCollectionPart.java,55.0,35.0,0.0,9.0,45.0,9.0,0.0,488.0,A,A
hibernate-core/src/main/java/org/hibernate/cache/spi/support/AbstractEntityDataAccess.java,7.0,0.0,0.0,1.0,2.0,1.0,0.0,77.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/internal/AbstractEntityEntry.java,97.0,61.0,0.0,8.0,110.0,8.0,0.0,671.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/AbstractEntityInitializer.java,198.0,221.0,0.0,13.0,63.0,13.0,0.0,1230.0,A,A
hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,28.0,21.0,0.0,0.0,0.0,0.0,0.0,289.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AbstractEntityInstantiatorPojo.java,6.0,3.0,0.0,2.0,2.0,2.0,0.0,68.0,A,A
hibernate-testing/src/main/java/org/hibernate/testing/orm/junit/AbstractEntityManagerFactoryScope.java,16.0,7.0,0.0,2.0,20.0,2.0,0.0,164.0,A,A
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,1021.0,1005.0,1.0,250.0,2762.0,251.0,0.0,6759.0,B,A
hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/AbstractEntityResultGraphNode.java,14.0,6.0,0.0,1.0,2.0,1.0,0.0,105.0,A,A
