file_path,complexity,bugs,code_smells,cognitive_complexity,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
lib/sqlalchemy/testing/config.py,58.0,0.0,8.0,20.0,40.0,8.0,0.0,428.0,A,A
lib/sqlalchemy/orm/context.py,452.0,1.0,30.0,571.0,278.0,31.0,0.0,3269.0,B,A
lib/sqlalchemy/engine/create.py,53.0,0.0,2.0,76.0,82.0,4.0,2.0,876.0,A,E
lib/sqlalchemy/sql/crud.py,237.0,0.0,28.0,314.0,228.0,28.0,0.0,1670.0,A,A
lib/sqlalchemy/engine/cursor.py,209.0,0.0,18.0,189.0,82.0,18.0,0.0,2182.0,A,A
lib/sqlalchemy/dialects/oracle/cx_oracle.py,163.0,1.0,21.0,186.0,113.0,22.0,0.0,1484.0,C,A
lib/sqlalchemy/dialects/mysql/cymysql.py,9.0,0.0,1.0,8.0,5.0,1.0,0.0,85.0,A,A
lib/sqlalchemy/sql/ddl.py,152.0,0.0,4.0,153.0,57.0,4.0,0.0,1379.0,A,A
lib/sqlalchemy/orm/decl_api.py,132.0,1.0,2.0,90.0,13.0,3.0,0.0,1884.0,B,A
lib/sqlalchemy/orm/decl_base.py,342.0,0.0,23.0,608.0,401.0,23.0,0.0,2181.0,A,A
lib/sqlalchemy/ext/mypy/decl_class.py,61.0,0.0,8.0,121.0,92.0,8.0,0.0,516.0,A,A
lib/sqlalchemy/engine/default.py,313.0,0.0,17.0,398.0,215.0,17.0,0.0,2366.0,A,A
lib/sqlalchemy/sql/default_comparator.py,36.0,0.0,2.0,36.0,16.0,2.0,0.0,553.0,A,A
lib/sqlalchemy/orm/dependency.py,257.0,1.0,33.0,484.0,334.0,34.0,0.0,1305.0,C,A
lib/sqlalchemy/util/deprecations.py,59.0,0.0,3.0,75.0,38.0,3.0,0.0,402.0,A,A
lib/sqlalchemy/orm/descriptor_props.py,153.0,0.0,11.0,160.0,49.0,11.0,0.0,1077.0,A,A
lib/sqlalchemy/dialects/oracle/dictionary.py,0.0,0.0,1.0,0.0,0.0,1.0,0.0,508.0,A,A
lib/sqlalchemy/dialects/sqlite/dml.py,9.0,0.0,0.0,7.0,0.0,0.0,0.0,241.0,A,A
lib/sqlalchemy/dialects/postgresql/dml.py,18.0,0.0,1.0,22.0,5.0,1.0,0.0,311.0,A,A
lib/sqlalchemy/dialects/mysql/dml.py,14.0,0.0,0.0,14.0,0.0,0.0,0.0,220.0,A,A
lib/sqlalchemy/sql/dml.py,128.0,0.0,1.0,83.0,11.0,1.0,0.0,1818.0,A,A
lib/sqlalchemy/orm/dynamic.py,32.0,1.0,0.0,25.0,0.0,1.0,0.0,301.0,E,A
lib/sqlalchemy/sql/elements.py,666.0,1.0,18.0,408.0,125.0,19.0,0.0,5500.0,E,A
lib/sqlalchemy/ext/asyncio/engine.py,105.0,2.0,0.0,20.0,0.0,2.0,0.0,1467.0,E,A
lib/sqlalchemy/future/engine.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,A,A
lib/sqlalchemy/testing/engines.py,100.0,0.0,3.0,77.0,21.0,3.0,0.0,473.0,A,A
lib/sqlalchemy/testing/entities.py,22.0,0.0,3.0,37.0,37.0,3.0,0.0,118.0,A,A
lib/sqlalchemy/dialects/mysql/enumerated.py,31.0,0.0,2.0,49.0,22.0,2.0,0.0,245.0,A,A
lib/sqlalchemy/orm/evaluator.py,77.0,0.0,17.0,59.0,85.0,17.0,0.0,380.0,A,A
lib/sqlalchemy/engine/events.py,39.0,0.0,2.0,19.0,0.0,3.0,1.0,952.0,A,E
lib/sqlalchemy/sql/events.py,9.0,0.0,0.0,1.0,0.0,1.0,1.0,456.0,A,E
lib/sqlalchemy/orm/events.py,163.0,0.0,7.0,162.0,54.0,7.0,0.0,3262.0,A,A
lib/sqlalchemy/pool/events.py,16.0,0.0,1.0,10.0,2.0,2.0,1.0,371.0,A,E
lib/sqlalchemy/events.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,A,A
lib/sqlalchemy/orm/exc.py,17.0,0.0,0.0,17.0,0.0,0.0,0.0,229.0,A,A
lib/sqlalchemy/ext/asyncio/exc.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,A,A
lib/sqlalchemy/exc.py,53.0,0.0,2.0,44.0,14.0,2.0,0.0,831.0,A,A
lib/sqlalchemy/testing/exclusions.py,101.0,0.0,6.0,85.0,80.0,6.0,0.0,436.0,A,A
lib/sqlalchemy/dialects/mysql/expression.py,7.0,0.0,0.0,3.0,0.0,0.0,0.0,142.0,A,A
lib/sqlalchemy/sql/expression.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,A,A
lib/sqlalchemy/dialects/postgresql/ext.py,23.0,0.0,0.0,21.0,0.0,0.0,0.0,497.0,A,A
lib/sqlalchemy/ext/declarative/extensions.py,37.0,0.0,2.0,45.0,22.0,2.0,0.0,549.0,A,A
lib/sqlalchemy/sql/functions.py,134.0,0.0,1.0,42.0,0.0,1.0,0.0,2056.0,A,A
lib/sqlalchemy/ext/horizontal_shard.py,43.0,0.0,2.0,55.0,8.0,2.0,0.0,482.0,A,A
lib/sqlalchemy/dialects/postgresql/hstore.py,34.0,0.0,0.0,20.0,0.0,0.0,0.0,398.0,A,A
lib/sqlalchemy/ext/hybrid.py,78.0,0.0,5.0,37.0,25.0,5.0,0.0,1515.0,A,A
lib/sqlalchemy/orm/identity.py,58.0,0.0,0.0,57.0,0.0,0.0,0.0,303.0,A,A
lib/sqlalchemy/pool/impl.py,68.0,0.0,4.0,47.0,22.0,4.0,0.0,582.0,A,A
lib/sqlalchemy/ext/indexable.py,16.0,0.0,1.0,19.0,5.0,1.0,0.0,342.0,A,A
lib/sqlalchemy/ext/mypy/infer.py,65.0,0.0,8.0,121.0,72.0,8.0,0.0,591.0,A,A
lib/sqlalchemy/dialects/mssql/information_schema.py,7.0,0.0,1.0,3.0,0.0,1.0,0.0,255.0,A,A
lib/sqlalchemy/inspection.py,21.0,0.0,1.0,18.0,5.0,1.0,0.0,175.0,A,A
lib/sqlalchemy/orm/instrumentation.py,119.0,0.0,3.0,81.0,5.0,3.0,0.0,755.0,A,A
lib/sqlalchemy/ext/instrumentation.py,68.0,0.0,12.0,37.0,60.0,12.0,0.0,451.0,A,A
lib/sqlalchemy/engine/interfaces.py,122.0,0.0,0.0,2.0,0.0,4.0,4.0,3404.0,A,E
lib/sqlalchemy/orm/interfaces.py,100.0,0.0,3.0,53.0,10.0,3.0,0.0,1470.0,A,A
lib/sqlalchemy/dialects/sqlite/json.py,11.0,0.0,0.0,7.0,0.0,0.0,0.0,93.0,A,A
lib/sqlalchemy/dialects/mssql/json.py,11.0,0.0,0.0,7.0,0.0,0.0,0.0,134.0,A,A
lib/sqlalchemy/dialects/postgresql/json.py,19.0,0.0,0.0,8.0,0.0,1.0,1.0,333.0,A,E
lib/sqlalchemy/dialects/mysql/json.py,11.0,0.0,0.0,7.0,0.0,0.0,0.0,82.0,A,A
lib/sqlalchemy/sql/lambdas.py,166.0,1.0,24.0,184.0,125.0,25.0,0.0,1450.0,B,A
lib/sqlalchemy/util/langhelpers.py,359.0,0.0,23.0,435.0,211.0,23.0,0.0,2219.0,A,A
lib/sqlalchemy/event/legacy.py,26.0,0.0,6.0,33.0,37.0,6.0,0.0,247.0,A,A
lib/sqlalchemy/orm/loading.py,250.0,0.0,23.0,504.0,400.0,23.0,0.0,1683.0,A,A
lib/sqlalchemy/log.py,35.0,0.0,2.0,21.0,10.0,2.0,0.0,289.0,A,A
lib/sqlalchemy/orm/mapped_collection.py,43.0,0.0,0.0,42.0,0.0,0.0,0.0,558.0,A,A
lib/sqlalchemy/orm/mapper.py,535.0,0.0,17.0,708.0,332.0,17.0,0.0,4422.0,A,A
lib/sqlalchemy/dialects/mysql/mariadb.py,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,A,A
lib/sqlalchemy/dialects/mysql/mariadbconnector.py,39.0,0.0,5.0,38.0,26.0,5.0,0.0,278.0,A,A
lib/sqlalchemy/engine/mock.py,10.0,0.0,3.0,4.0,15.0,3.0,0.0,132.0,A,A
lib/sqlalchemy/ext/mutable.py,115.0,0.0,4.0,91.0,54.0,4.0,0.0,1074.0,A,A
lib/sqlalchemy/testing/fixtures/mypy.py,42.0,0.0,7.0,87.0,77.0,7.0,0.0,313.0,A,A
lib/sqlalchemy/dialects/mysql/mysqlconnector.py,24.0,0.0,4.0,12.0,20.0,4.0,0.0,181.0,A,A
lib/sqlalchemy/dialects/mysql/mysqldb.py,31.0,0.0,3.0,28.0,15.0,5.0,2.0,304.0,A,E
lib/sqlalchemy/dialects/postgresql/named_types.py,56.0,0.0,0.0,34.0,0.0,0.0,0.0,510.0,A,A
lib/sqlalchemy/ext/mypy/names.py,34.0,0.0,2.0,60.0,30.0,2.0,0.0,336.0,A,A
lib/sqlalchemy/sql/naming.py,39.0,0.0,9.0,64.0,61.0,9.0,0.0,213.0,A,A
lib/sqlalchemy/dialects/postgresql/operators.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,A,A
lib/sqlalchemy/sql/operators.py,210.0,1.0,0.0,72.0,0.0,1.0,0.0,2580.0,E,A
lib/sqlalchemy/dialects/oracle/oracledb.py,68.0,0.0,9.0,34.0,55.0,9.0,0.0,432.0,A,A
lib/sqlalchemy/ext/orderinglist.py,44.0,0.0,0.0,29.0,0.0,0.0,0.0,417.0,A,A
lib/sqlalchemy/testing/fixtures/orm.py,34.0,0.0,4.0,11.0,20.0,4.0,0.0,228.0,A,A
lib/sqlalchemy/orm/path_registry.py,124.0,0.0,4.0,97.0,19.0,4.0,0.0,812.0,A,A
lib/sqlalchemy/orm/persistence.py,297.0,0.0,25.0,607.0,507.0,25.0,0.0,1783.0,A,A
lib/sqlalchemy/dialects/postgresql/pg8000.py,84.0,0.0,9.0,51.0,39.0,11.0,2.0,663.0,A,E
